"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://veteranstransitionsupport.org/cdn-cgi/l/email-protection","text/html","404","Not Found","Non-Indexable","Client Error","99","0.263","",""
"https://veteranstransitionsupport.org/career-transition-program/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0.616","",""
"https://alison.com/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.258","",""
"https://gs.columbia.edu/veterans","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.388","",""
