"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"http://live-timely-r1q1dyvun7.time.ly/event/business-career-transitioning-seminar-formerly-business-101/","","0","DNS lookup failed","Non-Indexable","No Response","1","","",""
"https://www.cool.osd.mil/usmc/index.html","","0","DNS lookup failed","Non-Indexable","No Response","1","","",""
