"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","1","Empowering veterans to transition from service to civilian success through free job training, mentoring, and resources for meaningful careers","141","Indexable",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","1","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm","71","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","1","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026","72","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","1","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026","72","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","1","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt 05/30-31, 06/6-7 8-5pm PST","75","Indexable",""
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","1","FREE OSHA Accident Investigation & Recordkeeping Course Live Zoom | May 1","73","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","1","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 30-31-JUN 6-7 8-5pmPST","75","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","1","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 4 2026","71","Indexable",""
