"Site Crawled","https://veteranstransitionsupport.org/"
"Start Date","2026-05-14"
"Start Time","12:19:36"
"Last Modified Date","2026-05-14"
"Last Modified Time","12:21:21"
"Elapsed","00:01:44"
"Report Date","2026-05-14"
"Report Time","12:22:06"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","89",""
"Interactive Controls Must Not Be Nested","0","0.00%","89",""
"List Items Must Be Contained In List Elements","0","0.00%","89",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","89",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","89",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","89",""
"<th> Element Requires Associated Data Cells","0","0.00%","89",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","89",""
"Table Headers Require Discernible Text","0","0.00%","89",""
"Table With Identical Summary & Caption Text","0","0.00%","89",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","89",""
""
"Custom Search"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","435","100.00%","435","Internal HTML pages with 2xx response"
""
"Analytics"
"All","92","100.00%","92","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","92","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","92","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","92","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","92","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","92","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","92","100.00%","92","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","92","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","92","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","92","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","92","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","92","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","92","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","92","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","92","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","92","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","92","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","92","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","439","100.00%","439","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","439","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","439","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","439","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","439","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","439","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","439","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","439","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","439","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","439","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","439","Internal URLs with 2xx response"
""
"Link Metrics"
"All","92","100.00%","92","Internal HTML/PDF pages"
""
"AI"
"All","435","100.00%","435","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","1.12%","89","Internal HTML pages with 2xx response"
"1","28","31.46%","89","Internal HTML pages with 2xx response"
"2","52","58.43%","89","Internal HTML pages with 2xx response"
"3","8","8.99%","89","Internal HTML pages with 2xx response"
"4","0","0.00%","89","Internal HTML pages with 2xx response"
"5","0","0.00%","89","Internal HTML pages with 2xx response"
"6","0","0.00%","89","Internal HTML pages with 2xx response"
"7","0","0.00%","89","Internal HTML pages with 2xx response"
"8","0","0.00%","89","Internal HTML pages with 2xx response"
"9","0","0.00%","89","Internal HTML pages with 2xx response"
"10+","0","0.00%","89","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://veteranstransitionsupport.org/testimonies/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/va-home-loans/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/vts-programs/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/our-instructors/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/contact-us/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/va-work-study-program/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/veteran-resources/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/donors-sponsors/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/gallery/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/board-members/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/volunteer/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/privacy-policy/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/va-work-study-program-2/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/volunteer-team/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/va-disability-filing/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/financials/","89","100.00%","89","Internal HTML pages with 2xx response"
"https://veteranstransitionsupport.org/education-counseling/","89","100.00%","89","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","318","72.60%"
"2","111","25.34%"
"3","8","1.83%"
"4","1","0.23%"
