"Site Crawled","https://veteranstransitionsupport.org/"
"Start Date","2026-05-14"
"Start Time","12:19:36"
"Last Modified Date","2026-05-14"
"Last Modified Time","12:21:21"
"Elapsed","00:01:44"
"Report Date","2026-05-14"
"Report Time","12:22:06"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Below 200 Pixels","0","0.00%","89","Internal HTML pages with 2xx response"
"Same as H1","0","0.00%","89","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","89","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","89","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Missing","2","2.25%","89","Internal HTML pages with 2xx response"
"Duplicate","10","11.24%","89","Internal HTML pages with 2xx response"
"Over 155 Characters","4","4.49%","89","Internal HTML pages with 2xx response"
"Below 70 Characters","8","8.99%","89","Internal HTML pages with 2xx response"
"Over 985 Pixels","1","1.12%","89","Internal HTML pages with 2xx response"
"Below 400 Pixels","4","4.49%","89","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","89","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","89","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Missing","45","50.56%","89","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","89","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","89","Internal HTML pages with 2xx response"
""
"H1"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Missing","4","4.49%","89","Internal HTML pages with 2xx response"
"Duplicate","2","2.25%","89","Internal HTML pages with 2xx response"
"Over 70 Characters","8","8.99%","89","Internal HTML pages with 2xx response"
"Multiple","1","1.12%","89","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","89","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","89","Internal HTML pages with 2xx response"
""
"H2"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Missing","4","4.49%","89","Internal HTML pages with 2xx response"
"Duplicate","16","17.98%","89","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","89","Internal HTML pages with 2xx response"
"Multiple","38","42.70%","89","Internal HTML pages with 2xx response"
"Non-Sequential","7","7.87%","89","Internal HTML pages with 2xx response"
""
"Content"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
