"Address","Status Code","Status","Inlinks","Matched Robots.txt Line"
"https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=ZFCWEA6PY4M26","0","Blocked by robots.txt","3","Line:15 /*?cmd=_s-xclick*"
"http://www.easterseals.com/southerncal/our-programs/military-veterans-services/?referrer=https://www.google.com/","0","Blocked by robots.txt","1","Line:88 /*?*"
